seconds,points,assists,rebounds,value
173,-1,0,0,0
213,2,2,0,0
316,3,1,0,0
183,0,0,0,0
288,2,2,0,0
179,0,0,0,0
245,1,1,-1,0
21,-1,0,-1,0
210,1,0,-1,0
212,0,0,-1,0
112,-2,0,-1,0
262,1,2,-1,0
12,-1,0,-1,0
97,1,1,-1,0
241,2,2,-1,0
146,1,0,-1,0
191,2,1,-1,0
233,0,0,0,0
83,-1,0,0,0
245,-1,0,0,0
304,3,3,0,0
41,-2,0,0,0
242,1,0,0,0
136,1,1,0,0
244,1,2,0,0
132,0,0,0,0
87,-1,0,0,0
171,-1,0,0,0
236,2,1,0,0
30,-1,0,0,0
164,-1,1,0,0
179,1,1,0,0
241,3,2,0,0
174,1,0,0,0
159,-1,0,0,0
246,2,1,0,0
48,-1,0,0,0
102,0,0,0,0
194,1,1,-1,0
247,0,0,-1,0
222,1,1,-1,0
80,-1,0,-1,0
24,-2,0,-1,0
129,1,0,-1,0
113,1,1,-1,0
96,-1,0,-1,0
139,0,0,-1,0
269,2,2,-1,0
219,2,2,-1,0
177,1,0,-1,0
195,1,1,-1,0
172,1,0,-1,0
182,0,1,-1,0
73,0,0,-1,0
150,0,1,-1,0
168,1,1,-1,0
227,1,1,-1,0
119,0,0,-1,0
274,2,1,-1,0
172,-2,0,-1,0
140,-1,0,-1,0
192,0,0,-1,0
195,1,1,-1,0
235,1,1,-1,0
176,0,0,-1,0
215,0,1,-1,0
102,-2,0,-1,0
118,-2,0,-1,0
206,1,1,-1,0
221,1,0,-1,0
139,0,1,-1,0
137,0,0,-1,0
175,1,0,-1,0
229,-1,0,-1,0
176,0,1,-1,0
198,0,0,-1,0
189,0,1,-1,0
44,0,0,-1,0
86,-2,0,-1,0
126,0,0,-1,0
132,0,0,-1,0
142,0,0,-1,0
128,0,0,-1,0
216,2,2,-1,0
140,0,0,-1,0
218,0,0,-1,0
216,1,0,-1,0
229,2,2,-1,0
76,0,0,-1,0
186,1,1,-1,0
56,0,0,-1,0
163,-1,0,0,0
234,0,0,0,0
146,-1,0,0,0
80,0,0,0,0
276,1,1,0,0
213,1,1,0,0
66,-1,0,0,0
117,0,0,0,0
221,0,1,0,0
220,2,1,0,0
199,0,0,-1,0
121,-2,0,-1,0
188,1,0,-1,0
117,1,0,-1,0
161,-1,1,-1,0
173,1,1,-1,0
103,-1,0,-1,0
197,0,1,-1,0
93,0,0,-1,0
149,1,0,-1,0
227,2,2,-1,0
166,2,2,-1,0
3,0,0,-1,0
200,-2,0,-1,0
213,1,1,-1,0
203,1,1,-1,0
215,1,1,-1,0
157,-1,0,-1,0
152,0,0,-1,0
247,3,1,-1,0
157,0,0,-1,0
37,0,0,-1,0
48,-1,0,0,0
212,0,1,0,0
80,-1,0,0,0
214,2,1,0,0
166,-1,0,0,0
18,-2,0,0,0
63,0,0,0,0
259,0,2,0,0
160,0,0,0,0
150,0,0,0,0
207,0,0,0,0
170,0,0,0,0
221,1,2,-1,0
126,-1,0,-1,0
279,2,1,-1,0
211,0,0,-1,0
153,0,0,-1,0
136,1,1,-1,0
185,0,1,-1,0
186,0,0,-1,0
250,0,0,-1,0
183,-1,0,-1,0
77,-1,0,-1,0
148,0,0,-1,0
83,0,0,-1,0
199,2,2,-1,0
200,2,1,-1,0
179,1,1,-1,0
218,2,1,-1,0
216,0,0,-1,0
127,-1,0,-1,0
117,0,1,-1,0
170,0,0,-1,0
206,1,0,-1,0
166,0,1,-1,0
109,-1,0,-1,0
218,1,0,-1,0
104,0,0,-1,0
228,0,1,-1,0
124,1,0,-1,0
240,1,1,-1,0
184,3,2,-1,0
245,-2,0,0,0
229,0,1,0,0
273,3,2,0,0
228,-1,1,0,0
165,1,1,0,0
221,0,0,0,0
104,-1,0,0,0
93,-1,0,0,0
166,0,0,0,0
152,1,1,0,0
231,0,0,0,0
207,0,1,0,0
200,0,0,0,0
215,0,0,0,0
158,0,0,0,0
78,-2,0,0,0
234,1,0,0,0
256,0,1,0,0
45,-2,0,-1,0
273,1,1,-1,0
236,1,0,-1,0
283,3,2,-1,0
176,-1,0,-1,0
199,1,1,-1,0
156,0,0,-1,0
183,0,1,-1,0
149,0,0,-1,0
162,-1,1,0,0
110,1,1,0,0
123,0,1,0,0
143,0,0,0,0
173,2,1,0,0
177,2,1,0,0
125,0,1,0,0
149,0,1,0,0
157,1,0,0,0
30,0,0,0,0
142,0,0,0,0
177,0,0,0,0
129,0,0,0,0
133,0,1,0,0
73,-2,0,0,0
201,1,0,0,0
101,-1,0,0,0
178,0,1,0,0
157,0,0,0,0
230,1,1,0,0
141,2,1,0,0
62,-1,0,-1,0
184,0,0,-1,0
115,-1,0,-1,0
190,2,1,-1,0
91,0,0,-1,0
112,0,0,-1,0
221,1,1,-1,0
133,2,1,-1,0
43,-1,0,-1,0
195,0,0,-1,0
168,2,1,-1,0
162,0,1,0,0
134,-1,0,0,0
208,1,2,0,0
120,0,0,0,0
153,1,1,0,0
130,0,0,0,0
74,0,0,0,0
136,1,1,0,0
137,0,0,0,0
52,-1,0,0,0
214,0,0,0,0
144,1,1,0,0
19,-1,0,0,0
81,-1,0,0,0
172,1,0,0,0
197,3,2,0,0
114,0,0,0,0
162,0,1,0,0
162,1,1,0,0
128,1,0,0,0
59,0,0,0,0
139,-1,0,0,0
103,1,1,0,0
54,0,0,0,0
189,1,1,0,0
216,0,1,0,0
127,-2,0,0,0
145,0,0,0,0
164,-2,0,0,0
169,0,1,0,0
182,1,1,0,0
164,1,0,0,0
91,0,0,0,0
184,1,0,-1,0
196,1,1,-1,0
170,0,0,-1,0
55,-1,0,-1,0
161,1,0,-1,0
120,0,0,-1,0
144,1,1,-1,0
146,0,0,-1,0
102,-1,0,-1,0
128,1,0,-1,0
96,1,0,-1,0
135,-1,0,-1,0
230,1,1,-1,0
165,-2,0,-1,0
111,0,0,-1,0
179,0,0,-1,0
194,1,1,-1,0
40,-1,0,-1,0
108,0,0,-1,0
160,1,1,-1,0
196,0,0,-1,0
193,-1,0,0,0
182,0,0,0,0
212,1,1,0,0
68,0,0,0,0
226,1,1,0,0
107,0,0,0,0
144,0,0,0,0
58,-1,0,0,0
97,-1,0,0,0
232,1,1,0,0
137,0,0,-1,0
257,0,1,-1,0
160,0,0,-1,0
246,1,1,-1,0
218,1,2,-1,0
116,0,0,-1,0
103,-1,0,-1,0
222,1,1,-1,0
135,-1,0,-1,0
199,3,2,-1,0
94,0,0,-1,0
94,-1,0,-1,0
20,-2,0,-1,0
173,0,0,-1,0
142,0,0,-1,0
104,-1,0,-1,0
202,2,2,-1,0
209,0,1,-1,0
143,0,0,-1,0
169,2,1,-1,0
214,-1,0,-1,0
135,1,1,-1,0
216,1,1,-1,0
93,0,0,-1,0
88,0,0,-1,0
87,0,0,-1,0
198,1,0,-1,0
108,0,0,-1,0
208,1,1,-1,0
210,1,1,-1,0
121,-1,0,-1,0
235,0,1,-1,0
132,-1,1,-1,0
166,0,0,-1,0
181,1,2,-1,0
85,0,0,-1,0
210,2,1,-1,0
131,-1,0,-1,0
155,0,1,-1,0
198,1,1,-1,0
160,-1,0,-1,0
149,2,1,-1,0
183,1,1,-1,0
138,0,0,-1,0
141,0,1,-1,0
172,-1,0,-1,0
103,-1,0,-1,0
117,0,0,-1,0
144,0,1,-1,0
234,0,0,-1,0
189,0,1,-1,0
160,1,0,-1,0
236,1,1,-1,0
136,0,0,-1,0
88,-1,0,-1,0
186,1,0,-1,0
146,1,1,-1,0
253,1,1,-1,0
219,1,0,-1,0
220,2,1,-1,0
35,-2,0,-1,0
183,0,1,-1,0
66,-2,0,-1,0
102,2,1,-1,0
159,-1,0,-1,0
86,0,0,-1,0
194,0,0,-1,0
90,-2,0,-1,0
240,1,1,-1,0
193,1,1,-1,0
69,-1,0,-1,0
113,-1,0,-1,0
208,0,1,-1,0
153,1,1,-1,0
174,1,1,-1,0
164,-1,0,-1,0
82,-1,0,-1,0
176,-1,1,-1,0
216,0,1,-1,0
230,2,1,-1,0
217,-1,1,-1,0
157,0,0,-1,0
222,0,0,-1,0
81,-1,0,-1,0
67,-1,0,-1,0
151,0,0,-1,0
126,1,0,-1,0
177,1,0,-1,0
5,-2,0,-1,0
145,1,1,-1,0
149,1,1,-1,0
144,0,0,-1,0
70,0,0,-1,0
60,-1,0,-1,0
117,0,1,-1,0
183,0,0,-1,0
48,-1,0,-1,0
119,0,0,-1,0
160,1,1,-1,0
61,0,0,-1,0
217,1,1,-1,0
131,0,0,-1,0
116,0,0,-1,0
183,1,0,-1,0
99,0,0,-1,0
177,1,0,-1,0
186,0,1,-1,0
179,1,0,-1,0
120,-1,1,-1,0
90,0,0,-1,0
8,-1,0,-1,0
243,2,1,-1,0
49,-1,0,-1,0
63,-1,0,-1,0
188,1,1,-1,0
175,0,0,-1,0
218,1,1,-1,0
204,0,0,-1,0
35,-2,0,-1,0
129,0,0,-1,0
139,-1,0,-1,0
155,0,1,-1,0
109,0,0,-1,0
229,1,1,-1,0
149,1,1,-1,0
122,-1,0,-1,0
74,-2,0,-1,0
121,0,0,0,0
107,0,0,0,0
178,1,1,0,0
182,1,1,0,0
129,1,1,0,0
169,1,0,0,0
141,0,0,0,0
137,1,1,0,0
166,1,1,0,0
103,-2,0,0,0
205,1,0,0,0
167,1,1,0,0
71,-1,0,0,0
51,-1,0,0,0
99,0,0,0,0
113,1,1,0,0
27,-2,0,0,0
144,0,0,0,0
216,0,0,0,0
146,1,1,0,0
212,0,0,-1,0
254,3,3,-1,0
56,-2,0,-1,0
133,1,1,-1,0
147,0,1,-1,0
121,1,0,-1,0
5,-2,0,-1,0
134,0,0,-1,0
194,1,1,-1,0
87,-1,0,-1,0
177,-1,0,-1,0
140,1,0,-1,0
133,-1,0,-1,0
143,1,1,-1,0
215,1,1,-1,0
108,0,0,-1,0
112,0,0,-1,0
74,-2,0,-1,0
77,-1,0,-1,0
164,0,0,-1,0
136,1,1,-1,0
197,1,1,-1,0
175,1,1,-1,0
127,-1,0,-1,0
117,0,0,-1,0
120,-1,0,-1,0
111,-1,0,-1,0
178,1,1,-1,0
160,0,0,-1,0
15,0,0,-1,0
80,0,0,0,0
60,1,0,0,0
200,2,2,0,0
154,1,1,0,0
8,-1,0,0,0
157,0,0,0,0
159,1,1,0,0
173,2,1,0,0
99,0,0,0,0
87,-2,0,0,0
125,1,1,0,0
41,-1,0,0,0
109,0,0,-1,0
105,-2,0,-1,0
173,0,0,-1,0
110,0,0,-1,0
162,1,1,-1,0
154,0,1,-1,0
51,-1,0,-1,0
202,4,2,-1,0
106,0,0,-1,0
167,1,0,-1,0
148,0,0,-1,0
164,-1,0,-1,0
201,2,1,-1,0
180,0,0,-1,0
103,0,0,-1,0
61,0,0,-1,0
87,0,0,-1,0
64,-1,0,-1,0
100,0,0,-1,0
94,-1,0,-1,0
133,2,1,-1,0
101,0,1,0,0
167,1,0,0,0
134,1,1,0,0
105,-1,0,0,0
116,0,0,0,0
154,-1,0,0,0
165,1,1,0,0
94,0,0,0,0
164,0,1,0,0
143,1,0,0,0
93,-2,0,0,0
131,-1,0,0,0
100,-1,0,0,0
134,1,1,0,0
46,-1,0,0,0
41,-1,0,0,0
248,1,2,0,0
167,1,0,0,0
12,-1,0,0,0
200,1,1,0,0
152,0,0,0,0
216,-1,0,-1,0
100,0,0,-1,0
220,2,1,-1,0
225,0,1,-1,0
91,1,1,-1,0
193,1,1,-1,0
74,-1,0,-1,0
52,-2,0,-1,0
173,1,1,-1,0
131,-1,0,0,0
155,0,0,0,0
59,-1,0,0,0
119,1,1,0,0
168,2,2,0,0
133,0,0,0,0
114,1,1,0,0
105,-1,0,0,0
185,1,1,0,0
128,0,1,0,0
42,-1,0,0,0
192,2,1,-1,0
7,-1,0,-1,0
43,-2,0,-1,0
198,2,1,-1,0
156,0,0,-1,0
20,-1,0,-1,0
184,1,0,-1,0
78,-1,0,-1,0
98,0,0,-1,0
92,-1,0,-1,0
70,-1,0,-1,0
203,1,1,-1,0
26,-1,0,-1,0
228,1,1,-1,0
171,2,1,-1,0
45,-2,0,-1,0
77,-1,0,-1,0
174,1,0,-1,0
152,0,0,-1,0
192,0,0,-1,0
185,0,1,-1,0
92,-1,0,-1,0
51,-1,0,-1,0
89,0,0,-1,0
113,-1,0,-1,0
162,0,0,-1,0
98,0,0,-1,0
93,-1,0,-1,0
193,1,1,-1,0
135,1,0,-1,0
154,0,0,-1,0
110,-1,0,-1,0
190,-1,0,-1,0
107,0,0,-1,0
34,0,0,-1,0
179,1,1,-1,0
202,0,1,-1,0
89,0,0,-1,0
200,1,1,-1,0
25,-1,0,-1,0
28,-2,0,-1,0
151,0,0,-1,0
63,0,1,0,0
32,-2,0,0,0
171,0,1,0,0
164,1,1,0,0
148,1,1,0,0
4,0,0,0,0
126,2,1,0,0
177,1,0,0,0
125,0,0,0,0
4,-1,0,0,0
61,-1,0,0,0
107,0,0,0,0
84,0,0,-1,0
157,0,0,-1,0
106,0,0,-1,0
129,-1,0,-1,0
118,1,0,-1,0
124,-1,0,-1,0
130,-1,0,-1,0
111,0,0,-1,0
18,-1,0,-1,0
112,0,0,-1,0
117,1,1,-1,0
109,1,0,-1,0
112,2,2,-1,0
104,0,0,-1,0
156,0,0,-1,0
140,0,0,-1,0
129,0,0,-1,0
111,1,0,-1,0
109,1,0,-1,0
43,-2,0,-1,0
76,0,0,-1,0
113,-1,0,-1,0
109,0,0,-1,0
13,-1,0,-1,0
166,0,0,-1,0
87,-1,0,-1,0
137,1,1,-1,0
149,0,0,-1,0
32,-1,0,-1,0
191,2,1,-1,0
119,0,0,-1,0
199,1,1,-1,0
146,-1,0,-1,0
124,1,0,-1,0
182,-1,0,-1,0
99,0,0,-1,0
206,2,1,-1,0
100,0,0,-1,0
135,0,1,-1,0
69,-2,0,-1,0
139,1,0,-1,0
188,0,0,-1,0
27,0,0,-1,0
198,1,1,-1,0
23,0,0,-1,0
192,0,1,-1,0
131,1,0,-1,0
52,-2,0,-1,0
160,0,0,-1,0
133,1,0,-1,0
81,0,0,-1,0
17,-1,0,-1,0
116,0,0,-1,0
63,-2,0,-1,0
177,2,1,-1,0
94,0,0,-1,0
17,-2,0,-1,0
88,0,0,-1,0
153,0,0,-1,0
54,-1,0,-1,0
140,0,0,-1,0
161,1,1,-1,0
135,0,0,-1,0
152,0,0,-1,0
203,1,2,-1,0
90,-2,0,-1,0
121,0,0,-1,0
129,0,0,-1,0
79,0,0,-1,0
132,0,1,-1,0
154,1,0,-1,0
118,0,0,-1,0
28,-1,0,-1,0
185,1,1,0,0
53,-2,0,0,0
180,1,1,0,0
158,0,1,0,0
33,-1,0,0,0
68,-1,0,0,0
173,1,0,0,0
149,0,1,0,0
124,-1,0,0,0
78,-1,0,0,0
187,1,1,-1,0
125,1,1,-1,0
170,0,0,-1,0
174,0,0,-1,0
140,0,0,-1,0
116,0,0,-1,0
53,-1,0,-1,0
80,0,1,-1,0
62,-1,0,-1,0
96,0,0,-1,0
117,0,0,-1,0
177,0,0,-1,0
144,0,0,-1,0
125,0,0,-1,0
150,1,1,-1,0
99,0,0,-1,0
32,0,0,-1,0
135,1,1,-1,0
137,0,0,-1,0
84,0,0,-1,0
148,0,0,0,0
189,1,1,0,0
93,0,0,0,0
187,0,0,0,0
18,-2,0,0,0
43,-2,0,0,0
58,0,0,0,0
169,0,0,0,0
97,0,0,0,0
200,1,1,0,0
218,1,1,-1,0
59,-1,0,-1,0
244,0,0,-1,0
123,0,0,-1,0
10,-1,0,-1,0
187,1,1,-1,0
59,-2,0,-1,0
155,0,1,-1,0
43,-2,0,-1,0
232,1,1,-1,0
172,1,1,-1,0
202,0,0,-1,0
38,-1,0,-1,0
72,-1,0,-1,0
114,0,0,-1,0
200,1,1,-1,0
98,0,0,-1,0
36,-2,0,-1,0
146,0,0,-1,0
178,0,0,-1,0
78,0,0,-1,0
14,-1,0,0,0
115,0,0,0,0
58,1,1,0,0
209,0,0,0,0
179,1,0,0,0
113,0,1,0,0
131,0,1,0,0
123,1,0,0,0
164,0,0,0,0
62,-2,0,0,0
97,-2,0,-1,0
181,1,1,-1,0
144,0,1,-1,0
80,0,0,-1,0
53,-1,0,-1,0
112,1,1,-1,0
88,0,0,-1,0
99,-1,0,-1,0
203,1,1,-1,0
119,0,0,-1,0
15,-2,0,-1,0
120,0,0,-1,0
152,1,1,-1,0
98,0,0,-1,0
167,1,1,-1,0
44,-1,0,-1,0
110,1,0,-1,0
184,1,1,-1,0
59,0,0,-1,0
155,1,0,-1,0
183,2,1,-1,0
46,-1,0,-1,0
209,0,0,-1,0
123,0,0,-1,0
8,-1,0,-1,0
175,1,1,-1,0
34,-2,0,-1,0
127,0,0,-1,0
38,-1,0,-1,0
154,0,0,-1,0
150,1,1,0,0
123,0,1,0,0
173,2,1,0,0
85,0,0,0,0
75,0,0,0,0
95,0,0,0,0
54,-1,0,0,0
137,1,1,0,0
51,-2,0,0,0
148,1,0,0,0
125,0,0,0,0
136,1,1,0,0
89,0,0,0,0
93,0,0,0,0
139,0,0,0,0
84,0,0,0,0
24,-1,0,0,0
130,2,1,0,0
158,1,1,0,0
53,0,0,0,0
59,0,0,0,0
119,0,0,-1,0
190,3,2,-1,0
99,-1,0,-1,0
63,-1,0,-1,0
156,0,0,-1,0
71,0,0,-1,0
9,-1,0,-1,0
106,1,1,-1,0
141,1,0,-1,0
134,0,1,-1,0
132,1,1,0,0
67,-1,0,0,0
113,-1,0,0,0
115,-1,0,0,0
86,-1,0,0,0
63,-1,0,0,0
150,1,1,0,0
142,0,0,0,0
124,-1,0,0,0
99,-1,0,0,0
121,0,0,0,0
130,1,1,0,0
117,1,0,0,0
100,0,0,0,0
124,1,1,0,0
144,1,2,0,0
121,0,0,0,0
152,2,1,0,0
50,-1,0,0,0
30,-1,0,0,0
128,1,1,-1,0
85,0,1,-1,0
154,0,0,-1,0
122,1,1,-1,0
4,-1,0,-1,0
91,0,0,-1,0
122,0,0,-1,0
28,-1,0,-1,0
173,0,0,-1,0
93,0,0,-1,0
89,0,1,-1,0
127,1,0,-1,0
73,-2,0,-1,0
140,0,0,-1,0
112,-1,0,-1,0
121,0,0,-1,0
106,0,0,-1,0
9,-1,0,-1,0
26,-1,0,-1,0
140,0,0,-1,0
67,0,0,-1,0
168,1,0,-1,0
162,-1,0,-1,0
61,0,0,-1,0
166,0,1,-1,0
162,1,1,-1,0
110,0,0,-1,0
91,1,0,-1,0
117,0,0,-1,0
4,-1,0,-1,0
77,-1,0,-1,0
141,0,0,-1,0
132,1,0,-1,0
191,1,1,-1,0
75,-2,0,-1,0
87,-1,0,-1,0
161,0,1,-1,0
165,0,1,-1,0
116,1,1,-1,0
28,-1,0,-1,0
118,1,1,-1,0
61,0,0,0,0
153,1,1,0,0
112,0,0,0,0
131,0,0,0,0
30,0,0,0,0
157,0,0,0,0
129,0,0,0,0
74,0,1,0,0
76,-1,1,0,0
86,0,0,0,0
73,-1,0,0,0
179,1,2,-1,0
65,-1,0,-1,0
23,0,0,-1,0
190,2,2,-1,0
196,1,1,-1,0
0,0,0,-1,0
0,0,0,-1,0
106,1,0,-1,0
182,1,0,-1,0
36,-1,0,-1,0
3,-1,0,-1,0
108,0,1,-1,0
130,2,2,0,0
145,0,0,0,0
148,0,0,0,0
76,-1,0,0,0
97,0,0,0,0
65,1,1,0,0
185,1,1,0,0
59,0,0,0,0
58,-2,0,0,0
124,1,0,0,0
92,-2,0,-1,0
157,0,0,-1,0
151,1,1,-1,0
116,1,0,-1,0
67,-1,0,-1,0
79,0,0,-1,0
125,1,0,-1,0
7,0,0,-1,0
81,-1,0,-1,0
140,2,1,-1,0
74,0,0,-1,0
32,-2,0,-1,0
110,-1,0,-1,0
129,0,0,-1,0
166,0,0,-1,0
120,1,1,-1,0
27,-2,0,-1,0
76,-1,0,-1,0
130,1,0,-1,0
50,-1,0,-1,0
16,-1,0,-1,0
93,0,0,-1,0
142,0,1,-1,0
116,-1,0,-1,0
182,1,1,-1,0
16,-1,0,-1,0
112,-1,0,-1,0
108,0,0,-1,0
134,0,0,-1,0
95,0,0,-1,0
45,-1,0,-1,0
91,1,0,-1,0
115,0,1,-1,0
87,0,0,-1,0
91,-1,0,-1,0
156,1,1,-1,0
152,1,0,-1,0
174,0,1,-1,0
150,0,0,-1,0
55,0,0,-1,0
73,0,0,-1,0
100,0,1,-1,0
89,0,0,-1,0
45,-1,0,-1,0
124,1,0,0,0
109,0,0,0,0
109,0,0,0,0
94,1,0,0,0
97,0,0,0,0
144,0,0,0,0
139,0,0,0,0
74,0,0,0,0
100,1,0,0,0
98,-1,0,-1,0
127,1,0,-1,0
111,0,0,-1,0
47,-1,0,-1,0
105,-1,1,-1,0
77,0,0,-1,0
19,-1,0,-1,0
50,0,0,-1,0
81,-1,0,-1,0
135,0,0,-1,0
119,0,0,-1,0
28,-1,0,-1,0
52,-1,0,-1,0
139,0,0,-1,0
142,1,1,-1,0
87,0,0,-1,0
11,0,0,-1,0
147,1,0,-1,0
79,0,0,-1,0
108,0,0,-1,0
69,-1,0,-1,0
68,0,0,-1,0
92,0,0,-1,0
155,0,0,-1,0
57,-1,0,-1,0
41,-1,0,-1,0
170,1,1,-1,0
152,0,0,-1,0
81,0,0,-1,0
72,-1,0,-1,0
128,0,0,-1,0
36,-2,0,-1,0
3,-1,0,-1,0
103,0,0,-1,0
139,-1,0,-1,0
68,0,0,-1,0
156,0,0,-1,0
110,0,0,-1,0
165,1,1,-1,0
91,1,0,-1,0
54,0,0,-1,0
62,0,0,-1,0
149,1,0,-1,0
80,-1,0,-1,0
134,0,0,-1,0
108,0,0,-1,0
48,-2,0,-1,0
64,-1,0,-1,0
140,-1,0,-1,0
138,0,0,-1,0
45,0,0,-1,0
134,1,1,-1,0
104,0,1,-1,0
103,0,0,-1,0
109,0,0,-1,0
78,0,0,-1,0
112,1,0,-1,0
94,1,1,-1,0
7,-1,0,-1,0
31,-1,0,-1,0
106,0,0,-1,0
90,1,0,-1,0
58,-1,0,-1,0
110,1,1,-1,0
93,1,1,-1,0
50,0,0,0,0
96,-1,0,0,0
77,-1,0,0,0
103,-1,0,0,0
134,0,0,0,0
115,-1,0,0,0
81,-2,0,0,0
85,-1,0,0,0
107,0,0,0,0
58,-1,0,0,0
87,0,0,0,0
126,0,0,-1,0
86,-1,0,-1,0
121,-1,0,-1,0
104,-1,0,-1,0
59,-1,0,-1,0
117,-1,0,-1,0
115,1,0,-1,0
77,-1,0,-1,0
114,0,1,-1,0
78,-1,0,-1,0
125,-1,0,-1,0
122,0,0,-1,0
102,0,0,-1,0
98,0,0,-1,0
94,0,0,-1,0
118,0,1,-1,0
106,0,0,-1,0
127,0,0,-1,0
47,-1,0,-1,0
60,-1,0,-1,0
79,0,0,-1,0
132,0,1,-1,0
47,-1,0,-1,0
121,1,1,-1,0
122,0,0,-1,0
91,1,1,-1,0
26,-1,0,-1,0
109,1,0,-1,0
167,1,1,-1,0
60,0,0,-1,0
43,0,0,-1,0
119,0,0,0,0
172,1,1,0,0
80,-1,0,0,0
25,-2,0,0,0
108,0,0,0,0
78,1,0,0,0
109,0,0,0,0
121,1,1,0,0
133,0,0,0,0
53,-1,0,0,0
179,0,0,0,0
147,0,0,0,0
136,1,1,0,0
14,-1,0,0,0
146,1,1,0,0
48,-1,0,0,0
84,0,0,0,0
72,-1,0,0,0
168,-1,0,0,0
137,1,1,-1,0
90,1,0,-1,0
125,1,1,-1,0
129,-1,0,-1,0
129,0,1,-1,0
74,-1,0,-1,0
24,-1,0,-1,0
21,-2,0,-1,0
95,0,0,-1,0
83,0,0,-1,0
89,-1,0,-1,0
117,-1,0,-1,0
155,0,0,-1,0
46,-1,0,-1,0
82,-1,0,-1,0
92,0,0,-1,0
59,0,0,-1,0
42,-1,0,-1,0
68,-1,0,-1,0
117,1,1,-1,0
101,0,1,-1,0
25,-1,0,-1,0
95,1,1,-1,0
85,0,0,0,0
106,0,1,0,0
114,1,0,0,0
145,0,0,0,0
18,-2,0,0,0
73,1,0,0,0
99,-2,0,0,0
162,1,1,0,0
31,0,0,0,0
162,2,1,0,0
128,0,0,-1,0
124,0,0,-1,0
134,1,0,-1,0
139,0,0,-1,0
119,0,0,-1,0
75,1,0,-1,0
135,1,0,-1,0
110,0,0,-1,0
28,-1,0,-1,0
51,-1,0,-1,0
112,0,0,-1,0
106,0,0,-1,0
113,0,0,-1,0
103,0,1,-1,0
2,-1,0,-1,0
70,-1,0,-1,0
123,0,0,-1,0
84,-2,0,-1,0
118,0,0,-1,0
113,0,0,-1,0
112,1,1,-1,0
21,-1,0,-1,0
106,0,0,-1,0
113,-1,0,-1,0
75,0,0,-1,0
105,0,1,-1,0
86,-1,0,-1,0
40,-1,0,-1,0
76,0,0,-1,0
68,0,0,-1,0
113,0,1,-1,0
122,0,1,-1,0
126,0,0,-1,0
37,-1,0,-1,0
89,-1,0,-1,0
120,-1,0,-1,0
84,-1,0,-1,0
85,-1,0,-1,0
94,0,0,-1,0
121,-1,0,-1,0
27,-1,0,-1,0
56,-1,0,-1,0
183,1,1,-1,0
104,-1,0,-1,0
68,-1,0,-1,0
111,0,0,-1,0
63,0,0,-1,0
122,1,1,-1,0
109,0,0,-1,0
88,0,0,-1,0
14,-1,0,-1,0
80,0,1,0,0
37,-1,0,0,0
154,0,0,0,0
123,1,0,0,0
33,-1,0,0,0
124,0,0,0,0
27,-1,0,0,0
102,0,0,0,0
97,-1,0,0,0
143,-1,0,0,0
145,-1,0,0,0
64,-1,0,0,0
101,0,0,0,0
127,1,0,0,0
138,1,1,0,0
106,0,0,0,0
97,0,0,0,0
78,0,0,0,0
110,-1,0,0,0
59,-1,0,0,0
115,0,0,-1,0
110,0,0,-1,0
68,-1,0,-1,0
108,0,0,-1,0
140,2,1,-1,0
92,0,0,-1,0
28,-1,0,-1,0
113,1,0,-1,0
150,0,1,-1,0
36,0,0,-1,0
63,0,0,-1,0
85,-1,0,-1,0
29,-1,0,-1,0
127,0,1,-1,0
62,-1,0,-1,0
111,0,0,-1,0
124,0,1,-1,0
57,-1,0,-1,0
125,1,1,-1,0
68,0,0,-1,0
122,0,0,-1,0
53,-1,0,-1,0
49,-1,0,-1,0
110,-1,0,-1,0
120,0,1,-1,0
34,-2,0,-1,0
124,0,0,-1,0
136,0,1,-1,0
132,-1,0,-1,0
106,1,1,-1,0
57,-1,0,-1,0
72,-1,0,0,0
112,1,0,0,0
82,0,0,0,0
74,-1,0,0,0
77,-1,0,0,0
114,0,1,0,0
126,1,0,0,0
86,0,0,0,0
108,0,1,0,0
67,1,1,0,0
60,0,0,-1,0
139,1,1,-1,0
52,-1,0,-1,0
115,1,0,-1,0
116,0,0,-1,0
22,-2,0,-1,0
82,0,0,-1,0
95,1,1,-1,0
30,-1,0,-1,0
123,1,1,-1,0
82,-1,0,-1,0
120,0,0,-1,0
63,-1,0,-1,0
47,-1,0,-1,0
138,0,0,-1,0
133,0,0,-1,0
64,0,0,-1,0
83,-1,0,-1,0
152,0,0,-1,0
119,0,0,-1,0
106,-1,0,-1,0
61,-1,0,-1,0
63,0,0,-1,0
123,0,0,-1,0
82,-1,0,-1,0
114,0,0,-1,0
86,0,0,-1,0
87,0,0,-1,0
57,-1,0,-1,0
138,1,1,-1,0
64,-1,0,0,0
38,-1,0,0,0
144,1,1,0,0
146,0,0,0,0
133,0,0,0,0
141,2,1,0,0
123,2,1,0,0
82,0,0,0,0
22,-2,0,0,0
56,0,0,0,0
74,0,0,0,0
38,-2,0,-1,0
159,1,1,-1,0
92,0,0,-1,0
56,-1,0,-1,0
94,-1,0,-1,0
121,1,0,-1,0
77,-1,0,-1,0
75,0,0,-1,0
53,-1,0,-1,0
139,0,0,-1,0
94,0,0,-1,0
25,-2,0,-1,0
78,-1,0,-1,0
88,0,0,-1,0
102,0,0,-1,0
